episode,step,agent0_rew
200, 9950, -77.58568937447195
400, 19950, -81.41383275708671
600, 29950, -84.74964876484232
800, 39950, -91.86773655749298
1000, 49950, -81.5535585566052
1200, 59950, -161.69152919231482
1400, 69950, -76.36090940788756
1600, 79950, -110.30259243493387
1800, 89950, -59.966161951864706
2000, 99950, -61.481490059515835
2200, 109950, -59.12184345506394
2400, 119950, -60.419647810783296
2600, 129950, -65.09420929701088
2800, 139950, -54.18348981723414
3000, 149950, -50.524797683753825
3200, 159950, -50.814374691052265
3400, 169950, -47.367292995396895
3600, 179950, -44.638676079659625
3800, 189950, -46.069331278579284
4000, 199950, -40.95214162691423
4200, 209950, -40.154474731784916
4400, 219950, -35.5546850873084
4600, 229950, -37.03073010491441
4800, 239950, -39.54280768148821
5000, 249950, -38.69914408756939
5200, 259950, -37.98539941276405
5400, 269950, -40.84048734744468
5600, 279950, -36.167197855870874
5800, 289950, -37.635242891350366
6000, 299950, -35.23525963642829
6200, 309950, -36.558254900181986
6400, 319950, -38.527768552928194
6600, 329950, -36.59113007474872
6800, 339950, -40.103551334769946
7000, 349950, -40.47978081294191
7200, 359950, -36.16822447722124
7400, 369950, -41.910644536043144
7600, 379950, -44.55898972439363
7800, 389950, -37.83553408208806
8000, 399950, -36.994506959227024
8200, 409950, -36.69974692466871
8400, 419950, -38.33584955434798
8600, 429950, -41.631977699980844
8800, 439950, -61.50462791976108
9000, 449950, -41.30304814597742
9200, 459950, -33.41874763674507
9400, 469950, -37.193089585868414
9600, 479950, -40.18311982405301
9800, 489950, -34.127875280943655
10000, 499950, -38.0751684561787
