episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg
200, 9950, -23.492462311557787, -0.49246231155778897, -12.124723618090453, -22.748743718592966, -0.4723618090452261, -11.723718592964817
400, 19950, -24.015, -0.54, -12.244000000000002, -22.615, -0.465, -11.692100000000009
600, 29950, -24.215, -0.425, -12.336699999999992, -22.175, -0.445, -11.445499999999996
800, 39950, -24.01, -0.46, -12.1537, -22.835, -0.405, -11.702700000000007
1000, 49950, -24.095, -0.52, -12.399199999999999, -22.39, -0.45, -11.454899999999999
1200, 59950, -16.005, -0.345, -8.695199999999998, -23.33, -0.555, -12.425400000000007
1400, 69950, -21.455, -0.44, -11.497600000000002, -27.485, -0.61, -14.53670000000001
1600, 79950, -14.355, -0.205, -7.296399999999997, -17.195, -0.36, -8.479599999999998
1800, 89950, -28.58, -0.47, -14.043399999999998, -25.115, -0.55, -13.120400000000002
2000, 99950, -31.845, -0.575, -15.460200000000004, -29.955, -0.525, -15.217099999999986
2200, 109950, -37.135, -0.67, -17.850000000000005, -28.795, -0.44, -14.124899999999993
2400, 119950, -40.075, -0.73, -19.6086, -34.1, -0.48, -16.898999999999994
2600, 129950, -43.885, -0.785, -21.370900000000002, -33.825, -0.34, -16.683699999999998
2800, 139950, -44.73, -0.87, -21.951000000000004, -35.31, -0.48, -17.2159
3000, 149950, -46.29, -0.885, -23.0812, -29.645, -0.375, -14.097700000000009
3200, 159950, -46.485, -0.89, -23.298799999999996, -42.89, -0.685, -21.257699999999982
3400, 169950, -48.375, -0.925, -24.432500000000005, -34.005, -0.54, -16.572399999999988
3600, 179950, -48.28, -0.86, -24.219100000000008, -38.205, -0.55, -18.482700000000012
3800, 189950, -49.235, -0.93, -24.92789999999999, -36.66, -0.515, -17.507500000000004
4000, 199950, -49.405, -0.925, -25.02489999999999, -37.62, -0.56, -17.625599999999984
4200, 209950, -49.07, -0.955, -24.8301, -39.91, -0.68, -19.0754
4400, 219950, -49.23, -0.94, -24.958199999999998, -42.39, -0.625, -20.235600000000005
4600, 229950, -48.84, -0.935, -24.638100000000012, -44.085, -0.78, -21.722699999999996
4800, 239950, -49.21, -0.95, -24.898300000000003, -44.225, -0.795, -21.76719999999999
5000, 249950, -49.29, -0.94, -24.957199999999997, -45.825, -0.9, -22.731199999999998
5200, 259950, -49.675, -0.98, -25.2403, -45.205, -0.83, -22.14999999999999
5400, 269950, -49.39, -0.99, -25.0496, -47.44, -0.885, -23.631499999999996
5600, 279950, -49.435, -0.98, -25.123800000000003, -47.52, -0.95, -23.71339999999999
5800, 289950, -49.545, -0.975, -25.175199999999997, -48.225, -0.98, -24.171599999999998
6000, 299950, -49.085, -0.955, -24.8174, -47.68, -0.915, -23.7139
6200, 309950, -49.41, -0.98, -25.072699999999994, -48.21, -1.0, -24.126900000000006
6400, 319950, -49.45, -0.995, -25.105499999999996, -47.86, -0.99, -23.9824
6600, 329950, -49.28, -0.965, -24.991600000000002, -47.92, -0.955, -24.090799999999994
6800, 339950, -49.36, -0.99, -25.06959999999999, -47.895, -0.995, -23.902200000000008
7000, 349950, -49.475, -0.995, -25.167800000000007, -48.375, -0.96, -24.41629999999999
7200, 359950, -49.125, -0.995, -24.953200000000002, -48.945, -0.985, -24.823600000000003
7400, 369950, -49.295, -0.995, -24.99389999999999, -48.9, -0.985, -24.66849999999999
7600, 379950, -49.705, -1.0, -25.2944, -49.235, -0.975, -24.961599999999994
7800, 389950, -49.39, -0.985, -25.071700000000007, -48.44, -0.985, -24.3772
8000, 399950, -49.695, -1.0, -25.288300000000003, -47.57, -0.99, -23.72779999999999
8200, 409950, -49.3, -0.99, -25.004499999999997, -49.44, -1.0, -25.09830000000001
8400, 419950, -49.86, -0.99, -25.4008, -49.28, -0.995, -25.007999999999992
8600, 429950, -49.54, -0.995, -25.183300000000003, -49.29, -0.995, -25.039699999999993
8800, 439950, -49.465, -1.0, -25.143799999999988, -49.525, -0.985, -25.178800000000006
