episode,step,agent0_energy_min,agent0_energy_max,agent0_energy_avg,agent1_energy_min,agent1_energy_max,agent1_energy_avg,agent2_energy_min,agent2_energy_max,agent2_energy_avg,agent3_energy_min,agent3_energy_max,agent3_energy_avg
200, 9950, -23.70854271356784, -0.5326633165829145, -12.160904522613068, -19.738693467336685, -0.36683417085427134, -10.265326633165834, -19.65829145728643, -0.4371859296482412, -10.30271356783919, -29.532663316582916, -0.5778894472361809, -14.786130653266323
400, 19950, -24.105, -0.525, -12.368499999999997, -19.9, -0.425, -10.429, -19.565, -0.41, -10.279099999999996, -28.825, -0.495, -14.2832
600, 29950, -24.715, -0.535, -12.806699999999992, -19.73, -0.41, -10.087499999999997, -19.87, -0.35, -10.317300000000007, -29.255, -0.62, -14.695100000000007
800, 39950, -23.92, -0.475, -12.185699999999999, -18.84, -0.44, -9.948499999999996, -19.575, -0.365, -10.254000000000001, -29.42, -0.52, -14.588500000000002
1000, 49950, -24.42, -0.48, -12.526500000000004, -19.555, -0.385, -10.229499999999996, -20.07, -0.405, -10.464500000000001, -29.505, -0.53, -14.560900000000009
1200, 59950, -27.61, -0.575, -14.239699999999996, -24.64, -0.485, -12.779199999999996, -6.815, -0.24, -4.005999999999999, -29.655, -0.565, -14.913200000000003
1400, 69950, -11.28, -0.38, -6.171400000000001, -35.035, -0.64, -17.035900000000005, -23.635, -0.415, -11.664399999999999, -31.0, -0.645, -16.16940000000001
1600, 79950, -32.41, -0.51, -15.951999999999993, -24.235, -0.555, -12.73150000000001, -10.71, -0.275, -5.638, -10.69, -0.285, -5.918400000000002
1800, 89950, -29.735, -0.57, -15.39260000000001, -19.805, -0.485, -10.184999999999997, -6.805, -0.23, -3.475400000000001, -4.055, -0.16, -2.3477000000000006
2000, 99950, -18.23, -0.285, -8.969399999999998, -29.345, -0.505, -14.268300000000004, -1.075, -0.135, -0.7167999999999999, -0.96, -0.1, -0.7372999999999997
2200, 109950, -21.155, -0.385, -11.242299999999998, -29.27, -0.475, -13.984600000000006, -3.68, -0.15, -2.0235, -0.89, -0.08, -0.6944999999999998
2400, 119950, -22.565, -0.395, -11.788900000000005, -33.66, -0.615, -16.104700000000005, -0.35, -0.09, -0.27449999999999997, -0.985, -0.095, -0.6311
2600, 129950, -12.6, -0.28, -6.9056, -35.99, -0.65, -17.899799999999992, -0.87, -0.105, -0.5628, -1.85, -0.14, -1.0903999999999998
2800, 139950, -26.14, -0.56, -14.461700000000006, -32.755, -0.59, -15.576800000000006, -1.14, -0.085, -0.5869000000000001, -1.065, -0.1, -0.7155
3000, 149950, -21.085, -0.365, -10.531299999999998, -37.315, -0.735, -18.226700000000005, -2.44, -0.115, -1.2571000000000003, -3.01, -0.12, -1.4371000000000007
3200, 159950, -12.68, -0.21, -5.718599999999997, -31.9, -0.725, -15.957000000000004, -3.22, -0.12, -1.5624, -2.2, -0.11, -1.2998999999999998
3400, 169950, -17.345, -0.285, -8.278500000000001, -37.375, -0.76, -18.575, -2.265, -0.105, -1.1363999999999999, -2.485, -0.12, -1.242
3600, 179950, -34.865, -0.675, -16.989699999999996, -36.065, -0.715, -17.892599999999995, -2.835, -0.115, -1.4242999999999997, -1.09, -0.07, -0.6408000000000001
3800, 189950, -20.95, -0.26, -9.453999999999997, -39.4, -0.755, -19.332199999999993, -1.58, -0.12, -0.9689000000000001, -3.835, -0.1, -1.8936999999999993
