episode,step,agent0_rew,agent1_rew
200, 9950, -83.73760488485576, -82.43754272950893
400, 19950, -73.27582278117046, -71.09405074968124
600, 29950, -85.78825324554684, -79.47149897260721
800, 39950, -78.95391741583359, -77.5334211876377
1000, 49950, -78.5003139284997, -70.86138627719058
1200, 59950, -70.40128944942292, -125.97494876466695
1400, 69950, -209.40396634013595, -123.79589773264382
1600, 79950, -115.08670483478662, -80.06913571424097
1800, 89950, -93.29838497725555, -74.73137821553487
2000, 99950, -38.313264672553736, -41.822454200021966
2200, 109950, -28.262556003199506, -35.58334544094398
2400, 119950, -33.86566690740443, -39.25647627418691
2600, 129950, -27.074046344603254, -35.377379878571745
2800, 139950, -31.92394705706305, -41.131853782789115
3000, 149950, -28.168386808929252, -32.34626806900949
3200, 159950, -29.606810223208086, -33.526250712333166
3400, 169950, -21.58131788524486, -33.0991764949317
3600, 179950, -20.252221347792414, -36.18503149208318
3800, 189950, -18.437181767766084, -31.76296191161017
4000, 199950, -18.996250035058562, -29.333132336877508
4200, 209950, -17.16615608897594, -25.351963807605145
4400, 219950, -19.526421123915995, -28.776410077045984
4600, 229950, -16.471358738022982, -23.51605420755348
4800, 239950, -17.276253075121804, -20.84786442123548
5000, 249950, -18.07885727832931, -21.638166088712367
5200, 259950, -18.931412658078948, -24.4548615703339
5400, 269950, -16.974244258361672, -18.356218193901295
5600, 279950, -20.590998823452747, -20.053119832359158
5800, 289950, -24.144267134373443, -28.197498717710133
6000, 299950, -16.989255899426556, -18.513814185145282
6200, 309950, -19.862694293241063, -21.573267888240338
6400, 319950, -15.166236681597972, -16.45540689142495
6600, 329950, -18.39425874653628, -18.004471232759915
6800, 339950, -17.454035664678695, -18.704971955149972
7000, 349950, -18.47857861933599, -18.172727064964228
7200, 359950, -18.380519766928195, -19.255483725038765
7400, 369950, -17.57709964088734, -18.97062211724503
7600, 379950, -19.525121490210022, -20.354442004936786
7800, 389950, -17.773836922491707, -17.652911415334433
8000, 399950, -19.60795420587944, -19.788368980297978
8200, 409950, -20.847087682853676, -22.20880709095585
8400, 419950, -18.794090874792747, -18.791016542434818
8600, 429950, -17.641514760892868, -18.673427288768586
8800, 439950, -18.28292227954258, -17.85347488279277
9000, 449950, -16.557593615839792, -18.122022185269596
9200, 459950, -20.325207595596723, -20.618963858372236
9400, 469950, -18.635496965828015, -18.0041285966932
9600, 479950, -15.94680688485367, -18.38013674731817
9800, 489950, -18.709372638694823, -21.25323148303593
10000, 499950, -15.262900942500558, -17.69831543025639
10200, 509950, -14.589125864262442, -14.91393057476053
10400, 519950, -19.954427114091448, -21.395999183114096
10600, 529950, -18.480921277181213, -19.651364114971585
10800, 539950, -19.249510182310793, -18.965730450670616
11000, 549950, -16.342534824676054, -16.990308457330094
11200, 559950, -19.660814457045493, -19.94576775201248
11400, 569950, -19.270942848247017, -19.97892792149529
11600, 579950, -16.909754354268042, -17.002346910907434
11800, 589950, -16.28549061451153, -16.327021300173136
12000, 599950, -19.602345202607673, -17.741876710623252
12200, 609950, -19.33204838048972, -18.60031525988206
12400, 619950, -19.024959953399936, -19.848711343941215
12600, 629950, -20.44341672140598, -21.79438282567713
12800, 639950, -19.588972210761284, -22.305888250973286
13000, 649950, -17.46388854827899, -19.12953102864046
13200, 659950, -16.496666747976548, -18.59364674680634
13400, 669950, -14.594072924358246, -15.664245530082775
13600, 679950, -16.926412297084713, -19.116092213464945
13800, 689950, -16.157250360253826, -16.52855749641424
14000, 699950, -16.237956363182843, -16.422156394580956
14200, 709950, -20.875651940745605, -21.525323641614495
14400, 719950, -15.368400867643572, -16.31617133460049
14600, 729950, -19.227193226340898, -22.463863830610855
14800, 739950, -16.75988615536899, -18.6946565171762
15000, 749950, -17.519458218009856, -19.30601730292585
15200, 759950, -15.761499451230184, -15.361537356069421
15400, 769950, -18.7437458535615, -20.56249834565088
15600, 779950, -16.094850392804233, -17.935049269106845
15800, 789950, -19.415552516287025, -19.95317799626273
16000, 799950, -19.595884700326007, -19.47443830263132
16200, 809950, -16.01707148876746, -16.480171837572843
16400, 819950, -18.16418542406556, -17.304185622516798
16600, 829950, -15.167024390609008, -15.204038955072658
16800, 839950, -15.787740100998029, -15.63169045773997
17000, 849950, -16.127979820489376, -16.52219430227862
17200, 859950, -18.929040755475036, -17.66136690529751
17400, 869950, -19.618639770812987, -18.704575337356573
17600, 879950, -18.082040075733108, -16.731044765523215
17800, 889950, -15.135943007710702, -15.197449667272883
18000, 899950, -17.77310314962533, -17.790736442859007
18200, 909950, -16.851135688789117, -17.205405496738692
18400, 919950, -15.71950551949309, -15.652842689318424
18600, 929950, -22.87339080106601, -21.738509984149168
18800, 939950, -20.755221959718494, -19.889384598394273
19000, 949950, -15.384222409804265, -15.455783324170092
19200, 959950, -16.67121236613856, -16.912841537388328
19400, 969950, -17.987371002660215, -17.63075577528228
19600, 979950, -19.748849431517765, -20.562979673392515
19800, 989950, -16.70458666492759, -16.311563705014745
20000, 999950, -16.08912604795272, -15.449799275347887
