episode,step,total_reward
100, 4950, -157.505242
200, 9950, -146.138941
300, 14950, -149.340755
400, 19950, -180.918774
500, 24950, -158.136512
600, 29950, -149.333536
700, 34950, -157.950753
800, 39950, -148.358661
900, 44950, -167.154481
1000, 49950, -153.019316
1100, 54950, -839.453728
1200, 59950, -345.405377
1300, 64950, -293.125391
1400, 69950, -389.392585
1500, 74950, -394.127733
1600, 79950, -168.378859
1700, 84950, -154.115842
1800, 89950, -135.549561
1900, 94950, -113.546035
2000, 99950, -122.724445
2100, 104950, -165.402224
2200, 109950, -140.539210
2300, 114950, -130.742348
2400, 119950, -112.762198
2500, 124950, -108.508793
2600, 129950, -107.688633
2700, 134950, -119.698966
2800, 139950, -106.687919
2900, 144950, -98.232982
3000, 149950, -102.088076
3100, 154950, -125.555482
3200, 159950, -109.246206
3300, 164950, -97.570134
3400, 169950, -116.700632
3500, 174950, -108.171549
3600, 179950, -105.947850
3700, 184950, -128.555622
3800, 189950, -96.204754
3900, 194950, -93.299526
4000, 199950, -88.349923
4100, 204950, -84.788176
4200, 209950, -97.396734
4300, 214950, -86.684641
4400, 219950, -91.440579
4500, 224950, -87.967459
4600, 229950, -78.791619
4700, 234950, -85.146655
4800, 239950, -90.228898
4900, 244950, -68.114015
5000, 249950, -71.984315
5100, 254950, -69.405748
5200, 259950, -77.812476
5300, 264950, -79.931762
5400, 269950, -72.631272
5500, 274950, -77.448194
5600, 279950, -76.877858
5700, 284950, -83.713045
5800, 289950, -71.576510
5900, 294950, -68.661235
6000, 299950, -64.433843
6100, 304950, -68.309096
6200, 309950, -68.705137
6300, 314950, -74.052710
6400, 319950, -75.975924
6500, 324950, -60.295533
6600, 329950, -61.982266
6700, 334950, -69.017196
6800, 339950, -68.630811
6900, 344950, -60.898512
7000, 349950, -65.408446
7100, 354950, -83.851385
7200, 359950, -71.708754
7300, 364950, -67.305890
7400, 369950, -75.991804
7500, 374950, -65.673432
7600, 379950, -63.224528
7700, 384950, -58.102628
7800, 389950, -67.196598
7900, 394950, -84.213084
8000, 399950, -116.444740
8100, 404950, -61.795680
8200, 409950, -68.486370
8300, 414950, -67.938560
8400, 419950, -67.887038
8500, 424950, -69.822664
8600, 429950, -71.266408
8700, 434950, -77.420381
8800, 439950, -59.533981
8900, 444950, -65.617260
9000, 449950, -60.193207
9100, 454950, -62.290661
9200, 459950, -66.244422
9300, 464950, -66.083015
9400, 469950, -59.018028
9500, 474950, -65.728622
9600, 479950, -66.877280
9700, 484950, -60.544937
9800, 489950, -56.704313
9900, 494950, -60.486518
10000, 499950, -61.920204
