episode,step,agent0_money,agent1_money
200, 9950, -23.613065326633166, -24.85929648241206
400, 19950, -23.325, -24.075
600, 29950, -23.495, -24.305
800, 39950, -23.46, -24.68
1000, 49950, -23.58, -24.13
1200, 59950, -9.62, -17.38
1400, 69950, -8.58, -23.79
1600, 79950, -5.3, -9.35
1800, 89950, -21.215, -4.715
2000, 99950, -19.8, -0.24
2200, 109950, -29.795, -0.655
2400, 119950, -27.5, -0.355
2600, 129950, -24.855, -0.43
2800, 139950, -19.79, -0.2
3000, 149950, -33.9, -0.235
3200, 159950, -40.15, -0.865
3400, 169950, -40.83, -5.02
3600, 179950, -42.315, -0.84
3800, 189950, -44.21, -2.73
4000, 199950, -44.58, -1.61
4200, 209950, -45.605, -1.97
4400, 219950, -47.555, -1.42
4600, 229950, -48.58, -3.6
4800, 239950, -48.805, -1.985
5000, 249950, -47.84, -3.115
5200, 259950, -47.93, -2.215
5400, 269950, -48.72, -1.96
5600, 279950, -49.025, -3.475
5800, 289950, -38.595, -2.66
6000, 299950, -38.865, -4.375
6200, 309950, -38.86, -5.385
6400, 319950, -33.465, -6.54
6600, 329950, -35.9, -5.78
6800, 339950, -34.99, -5.82
7000, 349950, -34.905, -7.345
7200, 359950, -39.095, -4.34
7400, 369950, -39.585, -5.745
7600, 379950, -35.26, -6.86
7800, 389950, -38.83, -5.205
8000, 399950, -36.565, -6.75
8200, 409950, -37.805, -9.845
8400, 419950, -41.235, -5.195
8600, 429950, -39.18, -3.8
8800, 439950, -40.305, -8.71
9000, 449950, -40.185, -6.415
9200, 459950, -39.995, -7.1
9400, 469950, -39.385, -5.705
9600, 479950, -40.085, -5.97
9800, 489950, -36.665, -7.285
10000, 499950, -38.97, -9.42
10200, 509950, -36.245, -10.38
10400, 519950, -34.705, -9.7
10600, 529950, -37.995, -6.33
10800, 539950, -37.35, -9.88
11000, 549950, -38.575, -12.88
11200, 559950, -37.775, -11.52
11400, 569950, -38.76, -11.015
11600, 579950, -39.105, -14.585
11800, 589950, -46.59, -17.38
12000, 599950, -42.425, -8.625
12200, 609950, -33.635, -13.505
12400, 619950, -31.515, -10.35
12600, 629950, -33.885, -11.51
12800, 639950, -28.78, -16.25
13000, 649950, -30.64, -19.335
13200, 659950, -35.595, -19.81
13400, 669950, -40.195, -24.265
13600, 679950, -37.225, -15.215
13800, 689950, -35.505, -11.17
14000, 699950, -29.695, -15.275
14200, 709950, -37.115, -18.735
14400, 719950, -32.14, -15.245
14600, 729950, -29.08, -15.215
14800, 739950, -26.66, -14.77
15000, 749950, -28.88, -17.195
15200, 759950, -30.385, -11.255
15400, 769950, -32.275, -15.54
15600, 779950, -29.9, -13.71
15800, 789950, -31.125, -17.14
16000, 799950, -29.895, -19.83
16200, 809950, -28.595, -20.455
16400, 819950, -28.385, -20.35
16600, 829950, -26.175, -17.48
16800, 839950, -28.665, -11.985
17000, 849950, -29.975, -16.595
17200, 859950, -30.39, -13.935
17400, 869950, -31.885, -16.65
17600, 879950, -31.95, -16.465
17800, 889950, -29.215, -16.265
18000, 899950, -28.645, -17.845
18200, 909950, -30.31, -19.07
18400, 919950, -33.6, -14.325
18600, 929950, -26.43, -21.705
18800, 939950, -27.22, -16.4
19000, 949950, -27.335, -16.375
19200, 959950, -29.15, -12.79
19400, 969950, -30.9, -16.265
19600, 979950, -29.225, -17.675
19800, 989950, -29.01, -18.86
20000, 999950, -29.69, -13.905
