episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min
100, 4950, -17.0, -17.535353535353536, -15.93939393939394, -17.424242424242426
200, 9950, -16.78, -18.01, -15.55, -17.2
300, 14950, -17.14, -17.84, -15.95, -16.83
400, 19950, -17.31, -17.44, -16.19, -17.5
500, 24950, -17.12, -17.39, -15.44, -17.67
600, 29950, -17.23, -17.76, -16.42, -16.98
700, 34950, -17.34, -17.33, -15.59, -17.85
800, 39950, -16.67, -17.73, -15.66, -17.43
900, 44950, -17.54, -17.05, -15.75, -17.77
1000, 49950, -16.7, -17.31, -15.74, -17.2
1100, 54950, -16.42, -14.32, -6.68, -26.74
1200, 59950, -15.86, -21.06, -16.13, -2.09
1300, 64950, -22.34, -8.09, -26.16, -0.32
1400, 69950, -23.21, -17.92, -2.51, -0.66
1500, 74950, -12.87, -25.28, -0.07, -0.04
1600, 79950, -13.59, -25.43, -0.03, 0.0
1700, 84950, -5.61, -36.4, -0.13, -0.02
1800, 89950, -7.35, -30.64, -0.06, -0.14
1900, 94950, -8.92, -29.71, -0.82, -0.17
2000, 99950, -9.28, -36.49, -0.79, -2.17
2100, 104950, -3.92, -42.73, -14.88, -15.62
2200, 109950, -15.37, -30.15, -12.76, -0.63
2300, 114950, -12.93, -29.88, -20.26, -0.15
2400, 119950, -18.81, -25.64, -32.29, -0.8
2500, 124950, -20.13, -25.01, -24.33, -2.26
2600, 129950, -20.65, -24.81, -15.54, -0.67
2700, 134950, -13.76, -33.19, -17.25, -0.28
2800, 139950, -18.45, -27.76, -22.27, -0.51
2900, 144950, -13.08, -35.55, -30.74, -0.47
3000, 149950, -15.71, -33.59, -28.99, -0.49
3100, 154950, -8.39, -41.02, -38.72, -0.42
3200, 159950, -20.11, -29.45, -33.02, -1.08
3300, 164950, -14.23, -35.32, -41.6, -0.79
3400, 169950, -14.7, -34.4, -43.48, -0.32
3500, 174950, -18.98, -30.38, -33.37, -0.34
3600, 179950, -15.21, -34.53, -41.69, -0.16
3700, 184950, -22.57, -26.61, -43.6, -0.1
3800, 189950, -23.48, -26.17, -45.31, -0.16
3900, 194950, -31.52, -18.05, -41.06, -0.28
4000, 199950, -39.92, -9.84, -42.8, -0.62
4100, 204950, -47.76, -1.86, -44.77, -0.36
4200, 209950, -41.82, -7.92, -45.12, -0.09
4300, 214950, -46.53, -3.19, -44.03, -0.12
4400, 219950, -46.7, -3.06, -44.52, -0.46
4500, 224950, -46.28, -3.48, -43.73, -0.1
4600, 229950, -48.67, -1.12, -42.39, -0.35
4700, 234950, -48.46, -1.29, -46.51, -0.72
4800, 239950, -46.92, -2.76, -44.22, -0.94
4900, 244950, -43.93, -5.41, -43.96, -1.78
5000, 249950, -43.96, -5.74, -47.95, -0.16
5100, 254950, -44.81, -4.4, -47.71, -0.13
5200, 259950, -46.63, -2.78, -47.41, -0.38
5300, 264950, -39.12, -10.27, -44.75, -0.23
5400, 269950, -46.88, -2.37, -47.39, -0.24
5500, 274950, -42.32, -3.28, -46.01, -0.44
5600, 279950, -42.81, -3.68, -45.03, -0.62
5700, 284950, -44.76, -4.7, -47.17, -0.43
5800, 289950, -44.1, -5.27, -46.07, -1.06
5900, 294950, -44.48, -5.2, -46.77, -0.59
6000, 299950, -44.97, -4.46, -48.08, -0.43
6100, 304950, -47.82, -2.13, -47.38, -0.79
6200, 309950, -45.75, -3.71, -46.42, -0.77
6300, 314950, -46.28, -3.59, -47.63, -0.35
6400, 319950, -45.4, -4.36, -47.04, -0.39
6500, 324950, -44.17, -5.72, -46.98, -0.55
6600, 329950, -45.77, -4.03, -46.92, -0.25
6700, 334950, -42.63, -6.12, -46.97, -0.76
6800, 339950, -45.95, -2.83, -45.54, -1.51
6900, 344950, -41.93, -6.74, -46.49, -0.7
7000, 349950, -41.62, -7.82, -45.8, -0.54
7100, 354950, -46.09, -3.79, -46.17, -0.5
7200, 359950, -45.19, -4.64, -44.98, -0.59
7300, 364950, -43.68, -5.77, -48.31, -0.24
7400, 369950, -44.02, -5.26, -47.42, -0.4
