episode,step,agent0_rew,agent1_rew
1000, 49950, -80.16079400833758, -83.57404640284571
2000, 99950, -157.9025997578878, -139.27258502394534
3000, 149950, -68.2414564684651, -65.81382925054109
4000, 199950, -58.501225254171075, -59.967516725727336
5000, 249950, -56.11565517604769, -60.20423361566942
6000, 299950, -54.06765706883864, -60.580324039779555
7000, 349950, -53.64773593173732, -60.35581437978372
8000, 399950, -43.41179792275834, -57.4915936385889
9000, 449950, -39.401975062702704, -51.32915960499484
10000, 499950, -38.848512897122184, -46.56101575363762
11000, 549950, -38.95597256682166, -42.19132505364805
12000, 599950, -48.443418150149334, -41.47354428574233
13000, 649950, -41.30067523371299, -41.2011731781659
14000, 699950, -38.27961966566534, -44.91742414011413
15000, 749950, -48.70091282215604, -46.140245296904936
16000, 799950, -38.26287770030817, -40.277741631395344
17000, 849950, -36.12032756160801, -36.783219977308526
18000, 899950, -37.1754985256763, -37.97920058747676
19000, 949950, -37.23794072730982, -38.91982329467538
20000, 999950, -36.49086473165845, -35.69682285669813
21000, 1049950, -37.76854556320574, -36.15117266002891
22000, 1099950, -34.40110966507204, -41.497865893437144
23000, 1149950, -36.09050605673702, -35.79995906052263
24000, 1199950, -45.025876844776526, -38.73623415836187
25000, 1249950, -42.271853185446034, -36.56279051603719
26000, 1299950, -42.35537070317523, -36.23482427351181
27000, 1349950, -38.3801699205233, -36.37279534131565
28000, 1399950, -52.29320873396762, -28.2927481547537
29000, 1449950, -37.82027284326614, -29.282602998336948
30000, 1499950, -36.85295334465548, -32.085457722163255
31000, 1549950, -39.649708248176104, -34.537457714876346
32000, 1599950, -36.39975484346754, -34.387373626646045
33000, 1649950, -46.41664114417915, -37.05238359749536
34000, 1699950, -35.02813941981553, -28.034266033774813
35000, 1749950, -33.53769908930092, -27.97284475548164
36000, 1799950, -41.95306950526561, -33.3951162741107
37000, 1849950, -32.70233497063254, -29.423229364424987
38000, 1899950, -32.659690705135624, -28.354662589996273
39000, 1949950, -33.19472083042964, -36.785009117455296
40000, 1999950, -34.186461619598425, -28.579930517245334
