episode,step,total_reward
1000, 49950, -346.568711
2000, 99950, -708.708155
3000, 149950, -303.206193
4000, 199950, -268.499801
5000, 249950, -252.726099
6000, 299950, -237.530555
7000, 349950, -209.489041
8000, 399950, -181.281157
9000, 449950, -175.614063
10000, 499950, -187.061675
11000, 549950, -173.734945
12000, 599950, -171.631280
13000, 649950, -187.500136
14000, 699950, -169.433016
15000, 749950, -167.754671
16000, 799950, -166.873363
17000, 849950, -158.529689
18000, 899950, -154.148005
19000, 949950, -145.281087
20000, 999950, -144.473434
21000, 1049950, -148.026907
22000, 1099950, -145.777998
23000, 1149950, -152.219405
24000, 1199950, -162.319428
25000, 1249950, -147.948601
26000, 1299950, -163.571233
27000, 1349950, -154.649840
28000, 1399950, -160.437079
29000, 1449950, -161.921596
30000, 1499950, -156.731125
31000, 1549950, -150.520756
32000, 1599950, -174.790300
33000, 1649950, -135.205282
34000, 1699950, -167.731363
35000, 1749950, -142.983047
36000, 1799950, -149.944214
37000, 1849950, -139.290384
38000, 1899950, -131.309904
39000, 1949950, -151.750366
40000, 1999950, -159.653285
