episode,step,agent0_energy_min,agent0_attention_min,agent1_energy_min,agent1_attention_min,agent2_energy_min,agent2_attention_min,agent3_energy_min,agent3_attention_min
1000, 49950, -17.214214214214213, -16.534534534534533, -16.035035035035037, -17.146146146146148, -15.972972972972974, -15.80980980980981, -15.23123123123123, -15.547547547547548
2000, 99950, -13.748, -7.353, -12.424, -12.306, -7.851, -8.999, -15.447, -13.27
3000, 149950, -7.123, -16.037, -5.935, -7.819, -4.267, -1.949, -24.127, -14.837
4000, 199950, -18.457, -9.299, -19.448, -14.277, -17.754, -4.196, -44.404, -2.264
5000, 249950, -39.157, -4.692, -26.354, -13.604, -20.587, -4.275, -46.636, -0.294
6000, 299950, -43.443, -2.998, -35.526, -9.036, -12.215, -0.652, -46.307, -0.66
7000, 349950, -43.586, -2.47, -40.66, -5.487, -13.329, -0.241, -46.518, -0.866
8000, 399950, -42.128, -2.138, -46.59, -1.285, -25.945, -1.191, -46.087, -0.614
9000, 449950, -44.202, -1.226, -42.792, -1.295, -44.32, -1.252, -46.934, -0.326
10000, 499950, -44.559, -1.228, -44.137, -1.63, -47.512, -0.318, -46.774, -0.425
11000, 549950, -44.774, -1.157, -43.312, -1.591, -47.829, -0.884, -45.931, -0.451
12000, 599950, -45.878, -1.445, -41.921, -1.913, -47.642, -0.338, -46.42, -0.372
13000, 649950, -47.533, -0.69, -40.742, -1.75, -48.657, -0.12, -45.045, -0.645
14000, 699950, -48.06, -0.348, -41.11, -0.818, -49.055, -0.051, -45.279, -0.306
15000, 749950, -48.055, -0.262, -39.897, -0.826, -48.8, -0.012, -45.773, -0.041
16000, 799950, -48.078, -0.307, -39.41, -0.646, -48.61, -0.022, -45.203, -0.038
17000, 849950, -47.766, -0.669, -40.202, -0.659, -49.228, -0.039, -44.815, -0.143
18000, 899950, -47.631, -0.542, -41.292, -0.493, -49.344, -0.015, -45.069, -0.038
19000, 949950, -47.692, -0.703, -38.538, -0.634, -49.149, -0.009, -42.486, -0.069
20000, 999950, -47.746, -0.63, -36.972, -0.534, -48.984, -0.007, -43.334, -0.359
21000, 1049950, -48.046, -0.38, -38.635, -0.634, -48.938, -0.009, -41.825, -1.234
22000, 1099950, -48.044, -0.266, -40.165, -0.768, -49.129, -0.006, -41.133, -0.04
23000, 1149950, -46.813, -0.738, -37.466, -0.728, -47.017, -0.015, -40.274, -0.017
24000, 1199950, -44.676, -1.473, -38.353, -0.456, -47.766, -0.116, -37.896, -0.027
25000, 1249950, -37.328, -0.038, -36.872, -1.89, -48.435, -0.011, -30.899, -0.873
26000, 1299950, -39.493, -0.353, -39.22, -1.068, -46.441, -0.115, -31.521, -1.009
27000, 1349950, -42.27, -0.034, -34.294, -0.98, -44.84, -0.348, -28.023, -0.674
28000, 1399950, -42.103, -0.109, -36.884, -2.204, -45.728, -0.764, -25.837, -1.066
29000, 1449950, -41.065, -0.226, -29.682, -0.13, -46.787, -0.965, -25.234, -1.14
30000, 1499950, -38.452, -0.139, -29.25, -0.87, -47.906, -0.444, -23.044, -0.815
31000, 1549950, -29.746, -1.305, -31.873, -1.143, -44.936, -0.299, -26.802, -1.457
32000, 1599950, -39.975, -0.97, -29.884, -0.805, -47.889, -0.021, -22.121, -2.459
33000, 1649950, -35.363, -0.031, -30.61, -0.499, -47.979, -0.047, -25.486, -1.785
34000, 1699950, -33.858, -0.681, -29.445, -1.413, -48.611, -0.158, -22.435, -2.591
35000, 1749950, -31.575, -0.626, -28.827, -0.77, -48.736, -0.18, -28.166, -0.803
36000, 1799950, -36.296, -5.01, -31.693, -0.305, -46.419, -2.214, -30.091, -1.408
37000, 1849950, -33.688, -3.164, -32.012, -0.643, -46.218, -1.03, -26.688, -1.807
38000, 1899950, -26.128, -4.584, -33.05, -2.743, -45.95, -0.916, -26.146, -1.643
39000, 1949950, -18.875, -1.519, -27.556, -3.1, -48.377, -0.015, -19.208, -1.642
40000, 1999950, -20.221, -2.342, -27.682, -0.784, -46.534, -0.976, -22.707, -1.289
