episode,step,agent0_rew,agent1_rew,agent2_rew,agent3_rew
1000, 49950, -87.17404489611373, -95.337909862557, -96.01512944373529, -95.10187597964409
2000, 99950, -210.20218169285593, -178.4746901459875, -195.87166080694783, -157.52186517812603
3000, 149950, -90.24334145482118, -78.80927503042881, -84.31566570704912, -75.37039473425646
4000, 199950, -80.77550299167017, -63.93468653388136, -71.72120187049, -58.1797027003744
5000, 249950, -74.86120561747302, -53.12906053234697, -50.071677742930746, -42.25087443665833
6000, 299950, -71.33809548221083, -41.858880497368176, -44.73701276763596, -39.55314274857385
7000, 349950, -65.30201550488196, -39.3284327736595, -46.32864738007281, -36.38729097014152
8000, 399950, -53.864771902014894, -46.820244127386616, -39.63980267501883, -38.43784148731989
9000, 449950, -44.02142792954522, -41.9836636713692, -41.29552802410979, -38.746267922883035
10000, 499950, -42.43620199782739, -36.55320324571554, -43.07022126876221, -34.398121440062255
11000, 549950, -40.75318704473112, -37.73461714549318, -39.39357668776599, -37.136680669954806
12000, 599950, -46.17638606551428, -39.31982124094536, -38.41549842976564, -33.7826740538095
13000, 649950, -46.69464046483014, -41.80382680558268, -40.76229314779467, -37.5090037622347
14000, 699950, -38.6340108723195, -43.80678076948744, -38.598724141159344, -37.97564585531149
15000, 749950, -43.00268754349383, -37.19363182554794, -40.98407427500866, -34.194315060844644
16000, 799950, -34.70050925022813, -35.182349788311434, -39.035943158290245, -34.94381977771085
17000, 849950, -35.60667634582268, -37.198970434625025, -39.04173533852678, -42.3468919997448
18000, 899950, -35.84371395949019, -45.746423236063976, -45.86173575699245, -37.93944442719621
19000, 949950, -37.224220861751405, -38.95201338405262, -38.46873144421772, -38.51297509762683
20000, 999950, -41.31893304940894, -38.11169190928926, -39.19987212371539, -38.53317597711092
21000, 1049950, -39.44051867286093, -74.11161927890961, -42.33413731066936, -39.6756031623637
22000, 1099950, -38.85645196772771, -37.384075457390395, -40.607073727709036, -39.28331127400369
23000, 1149950, -48.5271662654379, -35.569006424527295, -42.537264585257546, -34.99256599701823
24000, 1199950, -63.32014621489853, -53.73563660674848, -38.74660885398311, -39.126757300530926
25000, 1249950, -42.27620967461997, -45.71251867384523, -59.55499362289471, -41.420544603417795
26000, 1299950, -41.89987091707234, -39.36457841563718, -42.40572440804805, -45.04468916420331
27000, 1349950, -35.092287501518506, -44.97228196080856, -45.443457523318024, -39.897502107484186
28000, 1399950, -42.309987335733915, -32.44768216928921, -40.39377417275216, -37.5715451491602
29000, 1449950, -32.62356167882251, -43.444787265509596, -76.8890637447917, -35.69312605010123
30000, 1499950, -39.92785435539324, -31.11100685700734, -37.63186766863029, -44.8378239717693
31000, 1549950, -34.076053311684525, -31.08081698246263, -37.25629313396514, -44.70745879221436
32000, 1599950, -38.9102976284099, -31.38986134078169, -40.83226385107208, -37.8548501880066
33000, 1649950, -36.38915558213805, -32.20633124470196, -38.93002791647816, -36.24265038337379
34000, 1699950, -35.42214362273693, -32.6779183724539, -38.402896776992314, -37.11871764677284
35000, 1749950, -49.4136662019251, -32.63861648447061, -38.063527466853195, -30.93161445378329
36000, 1799950, -34.77656338775072, -34.5060512183544, -35.419078757722104, -33.54865093120379
37000, 1849950, -28.87292681594369, -33.48346974987099, -33.55553031299978, -37.89719728557121
38000, 1899950, -34.69882037515512, -27.927134137539618, -33.83599588575688, -31.3982315152792
39000, 1949950, -39.07086550481091, -27.788096776378715, -31.079127616966666, -29.277250222052754
40000, 1999950, -31.947055290789457, -31.453669738610117, -32.7343923940287, -58.220871935492724
